version,train_time_s,test_time_s,KS,ROC_AUC,Accuracy,F1
base,0.5165151669643819,0.0024052499793469906,0.12289958541329993,0.5710199833081706,0.7462380300957593,0.06666666666666667
tuned,0.5114728340413421,0.0023715420393273234,0.12289958541329993,0.5710199833081706,0.7462380300957593,0.06666666666666667
