feature,mean_abs_shap
num__feature_2,0.17510873822429382
num__feature_3,0.1706526222996721
num__feature_7,0.09943818759468759
num__feature_66,0.0971788784297521
num__feature_28,0.08280653061228757
bool__feature_83,0.08058064627515973
num__feature_71,0.07805852606518554
num__feature_14,0.07664417068236672
num__feature_39,0.07397189108574212
num__feature_41,0.07341591661686495
num__feature_75,0.07215309212885242
num__feature_84,0.06091198457570978
num__feature_74,0.05976344507991395
num__feature_18,0.05969140317653103
num__feature_20,0.05467637590455388
num__feature_8,0.053198579913262545
num__feature_85,0.05227505094303856
num__feature_34,0.04218749452124353
num__feature_15,0.038615957205275143
num__feature_21,0.03797283004758501
