model,val_KS,val_ROC_AUC,val_Accuracy,val_F1,test_KS,test_ROC_AUC,test_Accuracy,test_F1,meets_KS,meets_ROC_AUC,meets_Acc
Elastic Net,0.17004097937902646,0.6060681364228847,0.6326949384404925,0.07413793103448277,0.2567770182057638,0.6569464371488022,0.6419288645690835,0.08718395815170009,False,False,False
Elastic Net,0.17004097937902646,0.6060681364228847,0.6326949384404925,0.07413793103448277,0.2567770182057638,0.6569464371488022,0.6419288645690835,0.08718395815170009,False,False,False
SVM,0.11833798558167691,0.5744479557718617,0.7481190150478796,0.07066246056782334,0.18799042668358779,0.6041702483248259,0.7544459644322845,0.08418367346938775,False,False,False
Random Forest,0.20104172853167124,0.6128381215544448,0.9690492476060192,0.01092896174863388,0.23397318679532497,0.6104093665961274,0.96922024623803,0.010989010989010988,False,False,True
XGBoost,0.12289958541329993,0.5710199833081706,0.7462380300957593,0.06666666666666667,0.17712510849168173,0.6075461239425644,0.75,0.08165829145728642,False,False,False
Random Forest,0.20104172853167124,0.6128381215544448,0.7963406292749658,0.08595548733691481,0.23397318679532497,0.6104093665961274,0.7939466484268126,0.08781226343679031,False,False,False
