version,train_time_s,test_time_s,KS,ROC_AUC,Accuracy,F1
base,1.1950275000417605,0.02739441709127277,0.17363253593900918,0.6105833700616097,0.908686730506156,0.07291666666666666
tuned,0.04347045801114291,0.04882129095494747,0.20104172853167124,0.6128381215544448,0.7963406292749658,0.08595548733691481
